"ID","coach_id","coach_name"
"1","5550.0","Gianni De Biasi"
"2","5551.0","Marcel Koller"
"3","5552.0","Marc Wilmots"
"4","5553.0","Ante Cacic"
"5","5554.0","Pavel Vrba"
"6","5555.0","Roy Hodgson"
"7","5556.0","Didier Deschamps"
"8","5557.0","Joachim Low"
"9","5558.0","Bernd Storck"
"10","5559.0","Lars Lagerback"
"11","5560.0","Heimir Hallgrímsson"
"12","5561.0","Antonio Conte"
"13","5562.0","Michael ONeill"
"14","5563.0","Adam Nawalka"
"15","5564.0","Fernando Santos"
"16","5565.0","Martin ONeill"
"17","5566.0","Anghel Iordanescu"
"18","5567.0","Leonid Slutski"
"19","5568.0","Jan Kozak"
"20","5569.0","Vicente del Bosque"
"21","5570.0","Erik Hamren"
"22","5571.0","Vladimir Petkovic"
"23","5572.0","Fatih Terim"
"24","5573.0","Mykhailo Fomenko"
"25","5574.0","Chris Coleman"
